time,ahr999,value,avg
2024-04-30T00:00:00Z,1.14134785,63825.8,47311.7169
2024-04-29T00:00:00Z,1.12070263,63075.6,47106.3938
2024-04-28T00:00:00Z,1.14056399,63463.3,46905.7916
2024-04-27T00:00:00Z,1.15691084,63749,46709.0591
2024-04-26T00:00:00Z,1.19017530,64490,46513.7752
2024-04-25T00:00:00Z,1.18682254,64230.8,46319.3271
2024-04-24T00:00:00Z,1.27360786,66364.8,46126.9661
2024-04-23T00:00:00Z,1.29578726,66760.6,45927.7908
2024-04-22T00:00:00Z,1.23122044,64899.2,45726.242
2024-04-21T00:00:00Z,1.23847685,64917.5,45531.5295
2024-04-20T00:00:00Z,1.20275002,63803.8,45336.5302
2024-04-19T00:00:00Z,1.19515409,63435.1,45146.075
2024-04-18T00:00:00Z,1.11935343,61233.4,44962.2798
2024-04-17T00:00:00Z,1.22014501,63767.7,44779.8991
2024-04-16T00:00:00Z,1.21033413,63341.2,44587.6592
2024-04-15T00:00:00Z,1.30336314,65555.9,44397.6437
2024-04-14T00:00:00Z,1.24143586,63802.5,44198.4852
2024-04-13T00:00:00Z,1.38092557,67107.7,44003.3039
2024-04-12T00:00:00Z,1.51380472,70060.9,43797.273
2024-04-11T00:00:00Z,1.55107731,70707,43582.4472
2024-04-10T00:00:00Z,1.49223473,69147.1,43369.6433
2024-04-09T00:00:00Z,1.61198784,71659,43162.8063
2024-04-08T00:00:00Z,1.51929336,69359.8,42949.583
2024-04-07T00:00:00Z,1.50917489,68928.1,42745.759
2024-04-06T00:00:00Z,1.47086136,67853.5,42546.8978
2024-04-05T00:00:00Z,1.50724989,68494,42351.6322
2024-04-04T00:00:00Z,1.40490813,65938.6,42153.8434
2024-04-03T00:00:00Z,1.39252519,65463.8,41962.4088
2024-04-02T00:00:00Z,1.58730941,69698.5,41773.5891
2024-04-01T00:00:00Z,1.67104866,71303.3,41572.1255
2024-03-31T00:00:00Z,1.60303888,69627.7,41366.4015
2024-03-30T00:00:00Z,1.62462376,69886.4,41163.8468
2024-03-29T00:00:00Z,1.67854720,70823.3,40959.8136
2024-03-28T00:00:00Z,1.62680758,69509,40751.2546
2024-03-27T00:00:00Z,1.66210037,70048.5,40550.0585
2024-03-26T00:00:00Z,1.66626430,69925.1,40348.686
2024-03-25T00:00:00Z,1.55126556,67267.2,40149.8353
2024-03-24T00:00:00Z,1.41400077,64035.1,39958.2042
2024-03-23T00:00:00Z,1.41263406,63824.9,39776.4778
2024-03-22T00:00:00Z,1.49729444,65526.2,39596.3211
2024-03-21T00:00:00Z,1.61596619,67880,39413.0398
2024-03-20T00:00:00Z,1.35191697,61905.2,39223.7682
2024-03-19T00:00:00Z,1.62267491,67637.8,39052.5245
2024-03-18T00:00:00Z,1.67223642,68462.8,38866.0159
2024-03-17T00:00:00Z,1.53250170,65352.9,38685.1186
2024-03-16T00:00:00Z,1.74440743,69536.8,38517.0933
2024-03-15T00:00:00Z,1.85307734,71461.1,38333.178
2024-03-14T00:00:00Z,1.95238576,73127.6,38140.2044
2024-03-13T00:00:00Z,1.87873973,71512.8,37944.0832
2024-03-12T00:00:00Z,1.92454883,72158.9,37752.9753
2024-03-11T00:00:00Z,1.77109127,69009.9,37561.1984
2024-03-10T00:00:00Z,1.74849104,68367,37380.4546
2024-03-09T00:00:00Z,1.74992816,68195.2,37201.4425
2024-03-08T00:00:00Z,1.69199877,66860.2,37022.4546
2024-03-07T00:00:00Z,1.66413337,66116.6,36848.5505
2024-03-06T00:00:00Z,1.55625704,63755.9,36677.9148
2024-03-05T00:00:00Z,1.79537661,68289.7,36513.8662
2024-03-04T00:00:00Z,1.54472338,63159.5,36340.2134
2024-03-03T00:00:00Z,1.49677884,62013.9,36194.2198
2024-03-02T00:00:00Z,1.52372669,62418.7,36057.7935
2024-03-01T00:00:00Z,1.47228005,61208,35922.0271
2024-02-29T00:00:00Z,1.54150827,62482.9,35790.6483
2024-02-28T00:00:00Z,1.29275272,57081.9,35656.0079
2024-02-27T00:00:00Z,1.18485368,54528.6,35538.0554
2024-02-26T00:00:00Z,1.07192458,51757.7,35428.5865
2024-02-25T00:00:00Z,1.06987806,51608.5,35329.2833
2024-02-24T00:00:00Z,1.03910940,50764.1,35232.0036
2024-02-23T00:00:00Z,1.06580226,51315,35136.2932
2024-02-22T00:00:00Z,1.09423301,51893.8,35036.7499
2024-02-21T00:00:00Z,1.11622431,52309.2,34935.4392
2024-02-20T00:00:00Z,1.09923390,51806,34832.967
2024-02-19T00:00:00Z,1.11931998,52174.6,34733.0941
2024-02-18T00:00:00Z,1.10284392,51686.7,34632.363
2024-02-17T00:00:00Z,1.12720786,52153.5,34535.0952
2024-02-16T00:00:00Z,1.12104460,51907.1,34434.014
2024-02-15T00:00:00Z,1.12140807,51814.1,34335.9127
2024-02-14T00:00:00Z,1.03652414,49717.3,34238.2403
2024-02-13T00:00:00Z,1.04926262,49929.5,34148.0204
2024-02-12T00:00:00Z,0.98596866,48310,34056.9585
2024-02-11T00:00:00Z,0.96592210,47731.6,33972.2612
2024-02-10T00:00:00Z,0.94502608,47129.9,33889.3764
2024-02-09T00:00:00Z,0.87489359,45269.1,33808.2483
2024-02-08T00:00:00Z,0.84159607,44328.1,33735.616
2024-02-07T00:00:00Z,0.79694322,43071,33669.4989
2024-02-06T00:00:00Z,0.78522869,42691.6,33608.0196
2024-02-05T00:00:00Z,0.78299931,42570.3,33547.985
2024-02-04T00:00:00Z,0.80084000,42992.1,33489.3119
2024-02-03T00:00:00Z,0.81050073,43188.8,33429.0376
2024-02-02T00:00:00Z,0.80914684,43090.4,33367.9208
2024-02-01T00:00:00Z,0.79166265,42561.8,33308.5531
2024-01-31T00:00:00Z,0.80688944,42909.9,33251.981
2024-01-30T00:00:00Z,0.82357212,43290.6,33194.246
2024-01-29T00:00:00Z,0.77810322,42021.3,33139.0267
2024-01-28T00:00:00Z,0.78354062,42112.4,33086.9942
2024-01-27T00:00:00Z,0.77425589,41806.5,33034.1304
2024-01-26T00:00:00Z,0.70858347,39941.5,32982.116
2024-01-25T00:00:00Z,0.71470979,40064.7,32936.3867
2024-01-24T00:00:00Z,0.70990290,39880.6,32890.2741
2024-01-23T00:00:00Z,0.70007672,39555.2,32844.7435
2024-01-22T00:00:00Z,0.77527014,41575.1,32800.4079
2024-01-21T00:00:00Z,0.78148833,41687.1,32749.7509
2024-01-20T00:00:00Z,0.78286415,41669.4,32699.1709
2024-01-19T00:00:00Z,0.77199741,41326.6,32650.7952
2024-01-18T00:00:00Z,0.82947513,42783.3,32602.9674
2024-01-17T00:00:00Z,0.84541067,43133,32548.0757
2024-01-16T00:00:00Z,0.82353660,42511.9,32491.7942
2024-01-15T00:00:00Z,0.79580536,41733.4,32438.3075
2024-01-14T00:00:00Z,0.84104082,42846.4,32387.0309
2024-01-13T00:00:00Z,0.84083003,42781.2,32331.0158
2024-01-12T00:00:00Z,0.98963182,46348.7,32276.4154
2024-01-11T00:00:00Z,1.00630643,46663,32207.8084
2024-01-10T00:00:00Z,0.98571697,46110,32140.0449
2024-01-09T00:00:00Z,1.02689016,46990,32074.3462
2024-01-08T00:00:00Z,0.89970240,43912.3,32004.1968
2024-01-07T00:00:00Z,0.90418799,43956.7,31943.8666
2024-01-06T00:00:00Z,0.91493898,44148.9,31879.1255
2024-01-05T00:00:00Z,0.91903547,44170.4,31801.8166
2024-01-04T00:00:00Z,0.86710126,42826.7,31720.7767
2024-01-03T00:00:00Z,0.95985827,44981.3,31644.9383
2024-01-02T00:00:00Z,0.93152957,44230.3,31561.2008
2024-01-01T00:00:00Z,0.85577525,42313.9,31476.0264
2023-12-31T00:00:00Z,0.85326252,42174.2,31394.0798
2023-12-30T00:00:00Z,0.85288904,42090.9,31317.2704
2023-12-29T00:00:00Z,0.87689302,42605,31241.934
2023-12-28T00:00:00Z,0.91543449,43453.8,31164.1362
2023-12-27T00:00:00Z,0.88050218,42538.6,31083.2437
2023-12-26T00:00:00Z,0.92880058,43612,31005.843
2023-12-25T00:00:00Z,0.90648004,43008.3,30928.8688
2023-12-24T00:00:00Z,0.94018842,43724.2,30853.9217
2023-12-23T00:00:00Z,0.95583083,44008.6,30777.9353
2023-12-22T00:00:00Z,0.95446526,43896.3,30697.6465
2023-12-21T00:00:00Z,0.94983723,43711,30620.038
2023-12-20T00:00:00Z,0.89250077,42298.2,30547.2937
2023-12-19T00:00:00Z,0.91132527,42671.8,30479.6728
2023-12-18T00:00:00Z,0.86063450,41398.7,30410.3034
2023-12-17T00:00:00Z,0.90087992,42287.4,30344.8887
2023-12-16T00:00:00Z,0.89023154,41968,30278.0942
2023-12-15T00:00:00Z,0.93889538,43032.4,30215.756
2023-12-14T00:00:00Z,0.93506131,42874.9,30150.2091
2023-12-13T00:00:00Z,0.87960283,41514.9,30082.2478
2023-12-12T00:00:00Z,0.87214783,41271,30016.0548
